处理时间: 2025-10-21 16:50:59
================================================================================
Base PCFG Grammar统计分布
================================================================================
语法规则 (self.G['G']):
  D1                   | 频率: 29       | 概率: 0.000002
  D1,W4,D1,W2          | 频率: 41       | 概率: 0.000003
  D1,W4,W1             | 频率: 316      | 概率: 0.000022
  D1,W4,W2             | 频率: 193      | 概率: 0.000013
  D1,W4,W3             | 频率: 285      | 概率: 0.000020
  D1,W4,W4             | 频率: 81       | 概率: 0.000006
  D1,W4,Y1             | 频率: 10       | 概率: 0.000001
  D1,W5                | 频率: 15179    | 概率: 0.001061
  D1,W5,D1             | 频率: 535      | 概率: 0.000037
  D1,W5,D1,W1          | 频率: 119      | 概率: 0.000008
  D1,W5,D2,W2          | 频率: 15       | 概率: 0.000001
  D1,W5,W1             | 频率: 14       | 概率: 0.000001
  D1,W5,W2             | 频率: 30       | 概率: 0.000002
  D1,W5,W3             | 频率: 11       | 概率: 0.000001
  D1,W5,W4             | 频率: 21       | 概率: 0.000001
  D1,W5,Y1             | 频率: 66       | 概率: 0.000005
  D1,W6                | 频率: 9501     | 概率: 0.000664
  D1,W6,D1             | 频率: 36       | 概率: 0.000003
  D1,W7                | 频率: 6547     | 概率: 0.000458
  D1,W7,D1             | 频率: 59       | 概率: 0.000004
  D1,W9                | 频率: 2295     | 概率: 0.000160
  D1,Y1,D1,Y1,D1       | 频率: 10       | 概率: 0.000001
  D1,Y1,D1,Y1,D1,Y1    | 频率: 27       | 概率: 0.000002
  D1,Y1,D1,Y1,D1,Y1,D1,Y1 | 频率: 11       | 概率: 0.000001
  D1,Y1,D2             | 频率: 11       | 概率: 0.000001
  D1,Y1,D3             | 频率: 68       | 概率: 0.000005
  D1,Y1,D4             | 频率: 22       | 概率: 0.000002
  D1,Y1,W1,Y1,W2       | 频率: 45       | 概率: 0.000003
  D1,Y1,W1,Y2,W1,Y1    | 频率: 12       | 概率: 0.000001
  D1,Y1,W3             | 频率: 65       | 概率: 0.000005
  D1,Y1,W6             | 频率: 11       | 概率: 0.000001
  D2                   | 频率: 635      | 概率: 0.000044
  D2,W1                | 频率: 110      | 概率: 0.000008
  D2,W1,D1,W1          | 频率: 16       | 概率: 0.000001
  D2,W1,D2             | 频率: 118      | 概率: 0.000008
  D2,W1,D2,W1          | 频率: 43       | 概率: 0.000003
  D2,W1,W1             | 频率: 2212     | 概率: 0.000155
  D2,W1,W1,D2          | 频率: 66       | 概率: 0.000005
  D2,W1,W1,D2,W1,W1    | 频率: 15       | 概率: 0.000001
  D2,W1,W1,Y2          | 频率: 17       | 概率: 0.000001
  D2,W1,W2             | 频率: 178      | 概率: 0.000012
  D2,W1,W3             | 频率: 100      | 概率: 0.000007
  D2,W1,W3,W1          | 频率: 37       | 概率: 0.000003
  D2,W1,W4             | 频率: 718      | 概率: 0.000050
  D2,W1,W6             | 频率: 587      | 概率: 0.000041
  D2,W1,W9             | 频率: 272      | 概率: 0.000019
  D2,W1,Y1,W1          | 频率: 12       | 概率: 0.000001
  D2,W1,Y1,W2          | 频率: 14       | 概率: 0.000001
  D2,W2                | 频率: 7367     | 概率: 0.000515
  D2,W2,D2             | 频率: 154      | 概率: 0.000011
  D2,W2,D2,W2          | 频率: 32       | 概率: 0.000002
  D2,W2,T              | 频率: 62       | 概率: 0.000004
  D2,W2,W1             | 频率: 153      | 概率: 0.000011
  D2,W2,W2             | 频率: 66       | 概率: 0.000005
  D2,W2,W2,D2          | 频率: 10       | 概率: 0.000001
  D2,W2,W3             | 频率: 230      | 概率: 0.000016
  D2,W2,W4             | 频率: 10       | 概率: 0.000001
  D2,W2,W5             | 频率: 31       | 概率: 0.000002
  D2,W2,Y1             | 频率: 67       | 概率: 0.000005
  D2,W2,Y2             | 频率: 13       | 概率: 0.000001
  D2,W3                | 频率: 8785     | 概率: 0.000614
  D2,W3,D1             | 频率: 22       | 概率: 0.000002
  D2,W3,D2             | 频率: 101      | 概率: 0.000007
  D2,W3,W1             | 频率: 64       | 概率: 0.000004
  D2,W3,W2             | 频率: 57       | 概率: 0.000004
  D2,W3,W2,W1          | 频率: 20       | 概率: 0.000001
  D2,W3,W3             | 频率: 10       | 概率: 0.000001
  D2,W3,Y1             | 频率: 26       | 概率: 0.000002
  D2,W4                | 频率: 5273     | 概率: 0.000369
  D2,W4,W1,D2          | 频率: 14       | 概率: 0.000001
  D2,W4,W1,W2          | 频率: 60       | 概率: 0.000004
  D2,W4,W4             | 频率: 12       | 概率: 0.000001
  D2,W4,Y1             | 频率: 16       | 概率: 0.000001
  D2,W5                | 频率: 2736     | 概率: 0.000191
  D2,W5,T              | 频率: 11       | 概率: 0.000001
  D2,W5,W1,W3          | 频率: 10       | 概率: 0.000001
  D2,W6                | 频率: 1891     | 概率: 0.000132
  D2,W6,D2             | 频率: 10       | 概率: 0.000001
  D2,W7                | 频率: 812      | 概率: 0.000057
  D2,W9                | 频率: 519      | 概率: 0.000036
  D2,Y1,D2             | 频率: 101      | 概率: 0.000007
  D2,Y1,D2,Y1          | 频率: 10       | 概率: 0.000001
  D2,Y1,D2,Y1,D1,Y1,D1 | 频率: 10       | 概率: 0.000001
  D2,Y1,D2,Y1,D3       | 频率: 10       | 概率: 0.000001
  D2,Y1,W1             | 频率: 48       | 概率: 0.000003
  D2,Y1,W2             | 频率: 91       | 概率: 0.000006
  D2,Y1,W3             | 频率: 392      | 概率: 0.000027
  D2,Y1,W4             | 频率: 136      | 概率: 0.000010
  D2,Y1,W5             | 频率: 28       | 概率: 0.000002
  D2,Y1,W6             | 频率: 25       | 概率: 0.000002
  D2,Y1,W7             | 频率: 17       | 概率: 0.000001
  D2,Y2                | 频率: 39       | 概率: 0.000003
  D3                   | 频率: 983191   | 概率: 0.068720
  D3,W1                | 频率: 15396    | 概率: 0.001076
  D3,W1,D1             | 频率: 25       | 概率: 0.000002
  D3,W1,W1             | 频率: 129      | 概率: 0.000009
  D3,W1,W2             | 频率: 524      | 概率: 0.000037
  D3,W1,W3             | 频率: 141      | 概率: 0.000010
  D3,W2                | 频率: 418      | 概率: 0.000029
  D3,W3                | 频率: 1072     | 概率: 0.000075
  D3,W4                | 频率: 221      | 概率: 0.000015
  D3,W5                | 频率: 97       | 概率: 0.000007
  D3,Y1                | 频率: 502      | 概率: 0.000035
  D3,Y1,D1             | 频率: 13       | 概率: 0.000001
  D3,Y2                | 频率: 53       | 概率: 0.000004
  D4                   | 频率: 255547   | 概率: 0.017861
  D4,W1                | 频率: 3686     | 概率: 0.000258
  D4,W2                | 频率: 50       | 概率: 0.000003
  D4,W3                | 频率: 11       | 概率: 0.000001
  D4,W5                | 频率: 16       | 概率: 0.000001
  D4,Y1                | 频率: 245      | 概率: 0.000017
  D4,Y2                | 频率: 33       | 概率: 0.000002
  D5                   | 频率: 30925    | 概率: 0.002161
  D5,W1                | 频率: 13       | 概率: 0.000001
  D5,W1,W3             | 频率: 16       | 概率: 0.000001
  D5,W9                | 频率: 15       | 概率: 0.000001
  D5,Y1                | 频率: 90       | 概率: 0.000006
  D5,Y2                | 频率: 69       | 概率: 0.000005
  R                    | 频率: 108265   | 概率: 0.007567
  R,D1                 | 频率: 524      | 概率: 0.000037
  R,W1                 | 频率: 351      | 概率: 0.000025
  T                    | 频率: 850625   | 概率: 0.059454
  T,W1                 | 频率: 35       | 概率: 0.000002
  T,W1,D1              | 频率: 10       | 概率: 0.000001
  T,W1,W1              | 频率: 27       | 概率: 0.000002
  T,W1,W2              | 频率: 15       | 概率: 0.000001
  T,W1,W5              | 频率: 13       | 概率: 0.000001
  T,W2,W1              | 频率: 12       | 概率: 0.000001
  T,W2,W2              | 频率: 10       | 概率: 0.000001
  T,W3                 | 频率: 318      | 概率: 0.000022
  T,W4                 | 频率: 77       | 概率: 0.000005
  T,W5                 | 频率: 20       | 概率: 0.000001
  T,W6                 | 频率: 24       | 概率: 0.000002
  T,Y1,T               | 频率: 13       | 概率: 0.000001
  T,Y1,W4,W2,Y1,D2     | 频率: 13       | 概率: 0.000001
  W1                   | 频率: 457      | 概率: 0.000032
  W1,D1,D1,W1          | 频率: 52       | 概率: 0.000004
  W1,D1,D1,W2          | 频率: 14       | 概率: 0.000001
  W1,D1,D1,W3          | 频率: 356      | 概率: 0.000025
  W1,D1,W1             | 频率: 146      | 概率: 0.000010
  W1,D1,W1,D1          | 频率: 382      | 概率: 0.000027
  W1,D1,W1,D1,D1,W2    | 频率: 21       | 概率: 0.000001
  W1,D1,W1,D1,W1       | 频率: 158      | 概率: 0.000011
  W1,D1,W1,D1,W1,D1    | 频率: 89       | 概率: 0.000006
  W1,D1,W1,D1,W1,D1,W1 | 频率: 31       | 概率: 0.000002
  W1,D1,W1,D1,W1,D1,W1,D1 | 频率: 21       | 概率: 0.000001
  W1,D1,W1,D1,W1,D1,W2 | 频率: 26       | 概率: 0.000002
  W1,D1,W1,D1,W2,D1    | 频率: 11       | 概率: 0.000001
  W1,D1,W1,D1,W2,W1    | 频率: 10       | 概率: 0.000001
  W1,D1,W1,D1,W3       | 频率: 109      | 概率: 0.000008
  W1,D1,W1,D2          | 频率: 103      | 概率: 0.000007
  W1,D1,W1,D2,W1,D1    | 频率: 36       | 概率: 0.000003
  W1,D1,W1,W1          | 频率: 23       | 概率: 0.000002
  W1,D1,W1,W2          | 频率: 947      | 概率: 0.000066
  W1,D1,W1,W2,D1       | 频率: 52       | 概率: 0.000004
  W1,D1,W1,W2,D1,W1    | 频率: 118      | 概率: 0.000008
  W1,D1,W1,W2,D1,W1,D1,W1 | 频率: 14       | 概率: 0.000001
  W1,D1,W1,W3          | 频率: 323      | 概率: 0.000023
  W1,D1,W1,W4          | 频率: 82       | 概率: 0.000006
  W1,D1,W1,W5          | 频率: 137      | 概率: 0.000010
  W1,D1,W1,Y1,W1       | 频率: 11       | 概率: 0.000001
  W1,D1,W2             | 频率: 1678     | 概率: 0.000117
  W1,D1,W2,D1          | 频率: 64       | 概率: 0.000004
  W1,D1,W2,W1          | 频率: 122      | 概率: 0.000009
  W1,D1,W2,W1,D1,W1    | 频率: 10       | 概率: 0.000001
  W1,D1,W2,W2          | 频率: 56       | 概率: 0.000004
  W1,D1,W2,W3          | 频率: 210      | 概率: 0.000015
  W1,D1,W3             | 频率: 4037     | 概率: 0.000282
  W1,D1,W3,W1          | 频率: 16       | 概率: 0.000001
  W1,D1,W3,W1,D1,W1    | 频率: 11       | 概率: 0.000001
  W1,D1,W3,W1,D1,W1,D1,W1 | 频率: 13       | 概率: 0.000001
  W1,D1,W4             | 频率: 1567     | 概率: 0.000110
  W1,D1,W4,D1,W1       | 频率: 23       | 概率: 0.000002
  W1,D1,W4,W1          | 频率: 40       | 概率: 0.000003
  W1,D1,W5             | 频率: 591      | 概率: 0.000041
  W1,D1,W6             | 频率: 60       | 概率: 0.000004
  W1,D1,W7             | 频率: 23       | 概率: 0.000002
  W1,D1,W9             | 频率: 16       | 概率: 0.000001
  W1,D1,Y1,W2          | 频率: 55       | 概率: 0.000004
  W1,D2                | 频率: 460      | 概率: 0.000032
  W1,D2,W1             | 频率: 232      | 概率: 0.000016
  W1,D2,W1,D1          | 频率: 18       | 概率: 0.000001
  W1,D2,W1,D2          | 频率: 70       | 概率: 0.000005
  W1,D2,W1,W1          | 频率: 16       | 概率: 0.000001
  W1,D2,W2             | 频率: 577      | 概率: 0.000040
  W1,D2,W2,T           | 频率: 28       | 概率: 0.000002
  W1,D2,W2,W4          | 频率: 14       | 概率: 0.000001
  W1,D2,W2,W5          | 频率: 30       | 概率: 0.000002
  W1,D2,W3             | 频率: 1051     | 概率: 0.000073
  W1,D2,W3,D2          | 频率: 11       | 概率: 0.000001
  W1,D2,W4             | 频率: 71       | 概率: 0.000005
  W1,D2,W4,W1,W2       | 频率: 21       | 概率: 0.000001
  W1,D2,W5             | 频率: 71       | 概率: 0.000005
  W1,D2,W6             | 频率: 15       | 概率: 0.000001
  W1,D3                | 频率: 18623    | 概率: 0.001302
  W1,D3,W1             | 频率: 147      | 概率: 0.000010
  W1,D4                | 频率: 2779     | 概率: 0.000194
  W1,D5                | 频率: 19       | 概率: 0.000001
  W1,G                 | 频率: 2        | 概率: 0.000000
  W1,R                 | 频率: 531      | 概率: 0.000037
  W1,T                 | 频率: 2403     | 概率: 0.000168
  W1,T,W1,D1           | 频率: 13       | 概率: 0.000001
  W1,W1                | 频率: 652      | 概率: 0.000046
  W1,W1,D1             | 频率: 191      | 概率: 0.000013
  W1,W1,D1,D1          | 频率: 285      | 概率: 0.000020
  W1,W1,D1,W1          | 频率: 147      | 概率: 0.000010
  W1,W1,D1,W1,D1       | 频率: 12       | 概率: 0.000001
  W1,W1,D1,W1,W1       | 频率: 24       | 概率: 0.000002
  W1,W1,D1,W1,W2       | 频率: 14       | 概率: 0.000001
  W1,W1,D1,W1,W3       | 频率: 11       | 概率: 0.000001
  W1,W1,D1,W2          | 频率: 69       | 概率: 0.000005
  W1,W1,D1,W2,D1       | 频率: 107      | 概率: 0.000007
  W1,W1,D1,W2,W1       | 频率: 14       | 概率: 0.000001
  W1,W1,D1,W2,W1,D1    | 频率: 45       | 概率: 0.000003
  W1,W1,D1,W2,W1,D1,W1,D1 | 频率: 11       | 概率: 0.000001
  W1,W1,D1,W3          | 频率: 131      | 概率: 0.000009
  W1,W1,D1,W4          | 频率: 21       | 概率: 0.000001
  W1,W1,D1,W5          | 频率: 12       | 概率: 0.000001
  W1,W1,D1,W6          | 频率: 11       | 概率: 0.000001
  W1,W1,D2             | 频率: 6792     | 概率: 0.000475
  W1,W1,D2,W1          | 频率: 15       | 概率: 0.000001
  W1,W1,D2,W1,W1       | 频率: 28       | 概率: 0.000002
  W1,W1,D2,Y2          | 频率: 11       | 概率: 0.000001
  W1,W1,D3             | 频率: 856      | 概率: 0.000060
  W1,W1,T              | 频率: 310      | 概率: 0.000022
  W1,W1,W1             | 频率: 4778     | 概率: 0.000334
  W1,W1,W1,D1          | 频率: 97       | 概率: 0.000007
  W1,W1,W1,D2          | 频率: 14       | 概率: 0.000001
  W1,W1,W1,W1          | 频率: 361      | 概率: 0.000025
  W1,W1,W1,W2          | 频率: 122      | 概率: 0.000009
  W1,W1,W1,W3          | 频率: 70       | 概率: 0.000005
  W1,W1,W1,W4          | 频率: 15       | 概率: 0.000001
  W1,W1,W2             | 频率: 2200     | 概率: 0.000154
  W1,W1,W2,D1          | 频率: 178      | 概率: 0.000012
  W1,W1,W2,W1          | 频率: 43       | 概率: 0.000003
  W1,W1,W2,W2          | 频率: 125      | 概率: 0.000009
  W1,W1,W2,W2,Y1,W1    | 频率: 24       | 概率: 0.000002
  W1,W1,W2,W3          | 频率: 98       | 概率: 0.000007
  W1,W1,W2,W4          | 频率: 23       | 概率: 0.000002
  W1,W1,W2,Y1          | 频率: 13       | 概率: 0.000001
  W1,W1,W3             | 频率: 1987     | 概率: 0.000139
  W1,W1,W3,D1          | 频率: 50       | 概率: 0.000003
  W1,W1,W3,W1          | 频率: 166      | 概率: 0.000012
  W1,W1,W3,W1,W1       | 频率: 10       | 概率: 0.000001
  W1,W1,W3,W2          | 频率: 13       | 概率: 0.000001
  W1,W1,W3,W4          | 频率: 32       | 概率: 0.000002
  W1,W1,W3,Y1          | 频率: 14       | 概率: 0.000001
  W1,W1,W4             | 频率: 1286     | 概率: 0.000090
  W1,W1,W4,D1          | 频率: 52       | 概率: 0.000004
  W1,W1,W4,W1          | 频率: 13       | 概率: 0.000001
  W1,W1,W4,W3,W5       | 频率: 14       | 概率: 0.000001
  W1,W1,W5             | 频率: 555      | 概率: 0.000039
  W1,W1,W5,D1          | 频率: 165      | 概率: 0.000012
  W1,W1,W5,W2          | 频率: 11       | 概率: 0.000001
  W1,W1,W6             | 频率: 188      | 概率: 0.000013
  W1,W1,W7             | 频率: 44       | 概率: 0.000003
  W1,W1,W9             | 频率: 13       | 概率: 0.000001
  W1,W1,Y1,D1,Y1       | 频率: 11       | 概率: 0.000001
  W1,W1,Y1,W1,D1,Y1,W2 | 频率: 10       | 概率: 0.000001
  W1,W1,Y1,W2          | 频率: 134      | 概率: 0.000009
  W1,W1,Y1,W3          | 频率: 48       | 概率: 0.000003
  W1,W1,Y1,W3,W2,Y1,W2 | 频率: 15       | 概率: 0.000001
  W1,W1,Y1,W4          | 频率: 162      | 概率: 0.000011
  W1,W1,Y1,W4,Y1,W2    | 频率: 15       | 概率: 0.000001
  W1,W1,Y1,W5          | 频率: 29       | 概率: 0.000002
  W1,W1,Y1,W5,Y1,W2    | 频率: 15       | 概率: 0.000001
  W1,W1,Y1,W6,Y1,W2    | 频率: 21       | 概率: 0.000001
  W1,W1,Y1,W9          | 频率: 10       | 概率: 0.000001
  W1,W1,Y2             | 频率: 11       | 概率: 0.000001
  W1,W2                | 频率: 5775     | 概率: 0.000404
  W1,W2,D1             | 频率: 588      | 概率: 0.000041
  W1,W2,D1,W1,D1,W1    | 频率: 13       | 概率: 0.000001
  W1,W2,D1,W1,W1       | 频率: 18       | 概率: 0.000001
  W1,W2,D1,W2          | 频率: 26       | 概率: 0.000002
  W1,W2,D1,W3          | 频率: 51       | 概率: 0.000004
  W1,W2,D2             | 频率: 335      | 概率: 0.000023
  W1,W2,D3             | 频率: 23       | 概率: 0.000002
  W1,W2,W1             | 频率: 1652     | 概率: 0.000115
  W1,W2,W1,D1          | 频率: 78       | 概率: 0.000005
  W1,W2,W1,D1,W2,W1,Y1 | 频率: 25       | 概率: 0.000002
  W1,W2,W1,D2          | 频率: 12       | 概率: 0.000001
  W1,W2,W1,W2          | 频率: 37       | 概率: 0.000003
  W1,W2,W1,W3          | 频率: 10       | 概率: 0.000001
  W1,W2,W2             | 频率: 1988     | 概率: 0.000139
  W1,W2,W2,D1          | 频率: 186      | 概率: 0.000013
  W1,W2,W2,D1,W3       | 频率: 13       | 概率: 0.000001
  W1,W2,W2,D2          | 频率: 20       | 概率: 0.000001
  W1,W2,W2,W1,W2       | 频率: 10       | 概率: 0.000001
  W1,W2,W2,W2          | 频率: 24       | 概率: 0.000002
  W1,W2,W2,W3          | 频率: 17       | 概率: 0.000001
  W1,W2,W2,W4          | 频率: 17       | 概率: 0.000001
  W1,W2,W2,W5          | 频率: 33       | 概率: 0.000002
  W1,W2,W2,Y1          | 频率: 26       | 概率: 0.000002
  W1,W2,W2,Y2          | 频率: 18       | 概率: 0.000001
  W1,W2,W3             | 频率: 950      | 概率: 0.000066
  W1,W2,W3,W1          | 频率: 32       | 概率: 0.000002
  W1,W2,W3,W1,W2       | 频率: 10       | 概率: 0.000001
  W1,W2,W4             | 频率: 272      | 概率: 0.000019
  W1,W2,W4,D1          | 频率: 18       | 概率: 0.000001
  W1,W2,W5             | 频率: 135      | 概率: 0.000009
  W1,W2,W6             | 频率: 29       | 概率: 0.000002
  W1,W2,W7             | 频率: 27       | 概率: 0.000002
  W1,W2,Y1             | 频率: 18       | 概率: 0.000001
  W1,W2,Y1,W1,W3       | 频率: 18       | 概率: 0.000001
  W1,W2,Y1,W3          | 频率: 26       | 概率: 0.000002
  W1,W2,Y2,W1,W3       | 频率: 15       | 概率: 0.000001
  W1,W3                | 频率: 46177    | 概率: 0.003228
  W1,W3,D1             | 频率: 5745     | 概率: 0.000402
  W1,W3,D1,D1          | 频率: 770      | 概率: 0.000054
  W1,W3,D1,W1          | 频率: 41       | 概率: 0.000003
  W1,W3,D1,W1,W1       | 频率: 14       | 概率: 0.000001
  W1,W3,D1,W2          | 频率: 95       | 概率: 0.000007
  W1,W3,D1,W2,W1       | 频率: 10       | 概率: 0.000001
  W1,W3,D1,W3          | 频率: 250      | 概率: 0.000017
  W1,W3,D1,W4          | 频率: 59       | 概率: 0.000004
  W1,W3,D2             | 频率: 4003     | 概率: 0.000280
  W1,W3,D2,W3          | 频率: 18       | 概率: 0.000001
  W1,W3,D3             | 频率: 38       | 概率: 0.000003
  W1,W3,T              | 频率: 49       | 概率: 0.000003
  W1,W3,W1             | 频率: 10270    | 概率: 0.000718
  W1,W3,W1,D1          | 频率: 1429     | 概率: 0.000100
  W1,W3,W1,D1,D1       | 频率: 126      | 概率: 0.000009
  W1,W3,W1,D1,W1       | 频率: 10       | 概率: 0.000001
  W1,W3,W1,D1,W2       | 频率: 20       | 概率: 0.000001
  W1,W3,W1,D1,W3       | 频率: 23       | 概率: 0.000002
  W1,W3,W1,D2          | 频率: 1089     | 概率: 0.000076
  W1,W3,W1,W1          | 频率: 180      | 概率: 0.000013
  W1,W3,W1,W1,W3       | 频率: 14       | 概率: 0.000001
  W1,W3,W1,W2          | 频率: 82       | 概率: 0.000006
  W1,W3,W1,W2,W1       | 频率: 12       | 概率: 0.000001
  W1,W3,W1,W3          | 频率: 57       | 概率: 0.000004
  W1,W3,W1,W4          | 频率: 40       | 概率: 0.000003
  W1,W3,W1,W7          | 频率: 25       | 概率: 0.000002
  W1,W3,W1,Y1          | 频率: 405      | 概率: 0.000028
  W1,W3,W1,Y2          | 频率: 25       | 概率: 0.000002
  W1,W3,W2             | 频率: 16291    | 概率: 0.001139
  W1,W3,W2,D1          | 频率: 2356     | 概率: 0.000165
  W1,W3,W2,D1,D1       | 频率: 41       | 概率: 0.000003
  W1,W3,W2,D1,W2       | 频率: 13       | 概率: 0.000001
  W1,W3,W2,D1,W3       | 频率: 19       | 概率: 0.000001
  W1,W3,W2,D2          | 频率: 656      | 概率: 0.000046
  W1,W3,W2,W1          | 频率: 65       | 概率: 0.000005
  W1,W3,W2,W1,D1,W1    | 频率: 23       | 概率: 0.000002
  W1,W3,W2,W1,W4       | 频率: 13       | 概率: 0.000001
  W1,W3,W2,W2          | 频率: 12       | 概率: 0.000001
  W1,W3,W2,W3          | 频率: 79       | 概率: 0.000006
  W1,W3,W2,W4          | 频率: 68       | 概率: 0.000005
  W1,W3,W2,Y1          | 频率: 586      | 概率: 0.000041
  W1,W3,W2,Y1,D1       | 频率: 15       | 概率: 0.000001
